Nome;Morada;ID;Data;Hora (Lisboa);Temperatura(C);Pressao(bar);Bateria(%)
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:04;6,47;2,1167036;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:08;6,47;2,0960192;61
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:14;6,47;2,0960192;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:19;6,38;2,25597856;67
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:23;6,47;2,15393552;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:29;6,38;2,10015608;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:34;6,38;2,2787314;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:38;6,38;2,29527892;66
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:44;6,38;2,33251084;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:49;6,28;2,1167036;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:53;6,28;2,08774544;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;00:59;6,28;2,28286828;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:04;6,28;2,21254132;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:08;6,28;2,25184168;61
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:14;6,28;2,20426756;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:19;6,18;2,15393552;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:23;6,18;2,35733212;65
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:29;6,18;2,36560588;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:34;6,18;2,3407846;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:38;6,18;2,14979864;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:44;6,18;2,20426756;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:49;6,18;2,2683892;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:53;6,08;2,23529416;61
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;01:59;6,08;2,29527892;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:04;6,08;2,1580724;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:08;6,08;2,23943104;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:14;6,08;2,30355268;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:19;6,08;2,10429296;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:23;5,98;2,20013068;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:29;5,98;2,36560588;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:34;5,98;2,31596332;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:38;5,98;2,14979864;65
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:44;5,98;2,21874664;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:49;5,98;2,2787314;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:53;5,98;2,361469;61
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;02:59;5,89;2,14979864;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:04;5,89;2,20426756;67
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:08;5,89;2,1787568;63
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:14;5,89;2,21254132;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:19;5,89;2,15393552;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:23;5,89;2,29527892;61
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:30;5,79;2,2477048;70
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:35;5,79;2,10842984;69
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:39;5,79;2,18358316;68
Sensor 9;Rua do Pinhal n56-58;00:13:A2:00:41:EF:C6:DB;04/02/2023;03:44;5,79;2,36560588;68
